station,station_type,model,condition,horizon,n_eval,skill_h,phi_h,r_h,beta_h,kge_h,rmse,rmse_persistence
Ringsend dublin,unknown,xgboost_direct,lag_only,1,212,0.2432381490420754,0.8718243876827626,0.7793548926264705,1.0206465395729556,0.743993104395384,5.0384678632846,6.657930572090552
Ringsend dublin,unknown,xgboost_direct,lag_only,2,212,0.07214333460416722,0.34755767186851394,0.31566076692766537,0.9248858230860946,0.051504709008464156,15.746901863811594,16.9712655532779
Ringsend dublin,unknown,xgboost_direct,lag_only,3,212,0.3664469512246097,0.7626587875322142,0.5970720543576148,1.0253459845816888,0.5316793839155842,5.817648717853347,9.182575522441914
Ringsend dublin,unknown,xgboost_direct,lag_only,4,212,0.3922902876680078,0.7869335638309483,0.5824815035473502,1.0378976086450695,0.529728557274762,5.591582032322106,9.201073997756714
Ringsend dublin,unknown,xgboost_direct,lag_only,5,212,0.3838633911336381,0.7624887824398354,0.531291973743763,1.045182465413035,0.47260996641505504,6.076358595636607,9.86203141997451
Ringsend dublin,unknown,xgboost_direct,lag_only,6,212,0.3279010286917282,0.7807746000438889,0.5012337883724373,1.0574451021432059,0.45216110980738966,7.195487772961214,10.705994325441182
Ringsend dublin,unknown,xgboost_direct,lag_only,7,212,0.226342727698307,0.6926714639234051,0.4297805002130232,1.1169421178120114,0.3417625307363221,10.187575043940436,13.168072489813966
Ringsend dublin,unknown,xgboost_direct,lag_only,8,212,0.22581428351494803,0.7108699717828411,0.45317045910364634,1.1237986738595096,0.3691713135381799,10.564032006682067,13.645346047773588
Ringsend dublin,unknown,xgboost_direct,lag_only,9,212,0.22006029920056036,0.7017373202927769,0.4397247552307856,1.1117131144579249,0.35552440236326555,11.251446001691193,14.426046000938841
Ringsend dublin,unknown,xgboost_direct,lag_only,10,212,0.22749821348349286,0.6950066846382509,0.4850927881682381,1.1520671695045293,0.3825254796731856,11.117277513711677,14.391264470524456
Ringsend dublin,unknown,xgboost_direct,lag_only,11,212,0.18834125133857904,0.5805600765536983,0.4073474284323934,1.1019874003671737,0.26680947237434216,13.61000801895905,16.768140602691133
Ringsend dublin,unknown,xgboost_direct,lag_only,12,212,0.23072617430225728,0.5617891162084855,0.41320796106404406,1.0697056511502951,0.2643285016841801,12.955620211961795,16.84136360704962
Ringsend dublin,unknown,xgboost_direct,lag_only,13,212,0.0669828237749277,0.2358387692265892,0.18019494488857107,0.9724357049132181,-0.12106311390885494,31.825486735960588,34.11029030003978
Ringsend dublin,unknown,xgboost_direct,lag_only,14,212,0.20334771292117548,0.4786893241054406,0.34849241150797905,1.0297015858524738,0.1650693784113061,14.281775401546817,17.927238311102357
Ringsend dublin,unknown,xgboost_direct,lag_only,15,212,0.19717527339566854,0.44417805338466904,0.330002760225192,1.0136987771482813,0.12935541456890942,14.917008355907228,18.580653860776025
Ringsend dublin,unknown,xgboost_direct,lag_only,16,211,0.20670480606541575,0.4300032610070092,0.3200344980508683,1.0123605100527122,0.11264316731523305,14.01158283484926,17.662508158349773
Ringsend dublin,unknown,xgboost_direct,lag_only,17,212,0.2529408397938978,0.464822999633578,0.34152576350602754,1.0517359768206564,0.14989450469655907,11.392451525937467,15.249731390475775
Ringsend dublin,unknown,xgboost_direct,lag_only,18,212,0.2833850500878866,0.5050455429093335,0.29090409514583854,1.0595047069655128,0.13320260324230904,8.896534035681416,12.414664300224965
Ringsend dublin,unknown,xgboost_direct,lag_only,19,212,0.3023994518882406,0.6307363367204989,0.30555828900557,1.1700456083468218,0.19531344493305414,7.347912141418051,10.53312266067898
Ringsend dublin,unknown,xgboost_direct,lag_only,20,212,0.3079637014506934,0.6469898601993808,0.3167983262912495,1.2340557165704948,0.19615750036476765,7.551522726465304,10.912032710271582
Ringsend dublin,unknown,xgboost_direct,lag_only,21,212,0.23448611926795493,0.4764228392161202,0.234948926439094,1.1543025258409976,0.06018860512754198,9.372069947346615,12.242847821889654
Ringsend dublin,unknown,xgboost_direct,lag_only,22,212,0.2582593564640502,0.4853515139013122,0.2936663821053754,1.105390297660493,0.11972881516390188,8.827876525021697,11.901567754111937
Ringsend dublin,unknown,xgboost_direct,lag_only,23,212,0.25609081025096725,0.42317170164524803,0.23193811291974595,1.056946145153751,0.037766758204648365,9.774875149418431,13.139876861470295
Ringsend dublin,unknown,xgboost_direct,lag_only,24,212,0.19336812531281422,0.3627512073435426,0.14558880226962,1.0030565399605522,-0.06588642030270075,11.647646492985663,14.439853988540504
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,1,212,0.2815056258567217,0.8532195679906053,0.8004545814826826,1.0128181523315893,0.7519532820186654,4.7836856594836,6.657930572090552
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,2,212,0.08196804006729252,0.36706170534575927,0.34355308339680474,0.9274622002590807,0.0852349090892709,15.580164178414154,16.9712655532779
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,3,212,0.3975923328070935,0.8452456300423606,0.6560993975323445,1.0340556490629604,0.6213493343044253,5.531653899296918,9.182575522441914
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,4,212,0.3788126718497494,0.9287403031359405,0.6089026528167468,1.0505120989193828,0.5992674813442547,5.715590572779238,9.201073997756714
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,5,212,0.3452204993821756,0.948630184372907,0.5438816119993857,1.0602970875344204,0.5370544518034825,6.4574560082482035,9.86203141997451
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,6,212,0.3043249244637336,0.9449672563608155,0.5327783994892497,1.058998310965621,0.5258634927016488,7.447893411042133,10.705994325441182
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,7,212,0.23624560821649176,0.7946148949590273,0.48206584914682615,1.1039131438747924,0.43322247092652577,10.057173195419013,13.168072489813966
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,8,212,0.22280111517787293,0.806559712162106,0.48613629537815956,1.1281978035613878,0.43616515829149627,10.605147731341651,13.645346047773588
Ringsend dublin,unknown,xgboost_direct,lag_plus_met,9,212,0.26304081406704893,0.7654327798247996,0.5246948393473988,1.1020979274154534,0.46022156091017574,10.631407117083192,14.426046000938841
