dataset,station,model,horizon,n_pairs,dm_stat,dm_pval_raw,dm_pval_bh,dm_significant
e1_rr_08019054_10_M,08019054_10_M,ridge_direct,1,1427,3.576638341371336,0.0003596744397234,0.0006114465475297,True
e1_rr_08019054_10_M,08019054_10_M,ridge_direct,2,1416,3.659427206951837,0.0002620680827047,0.0004950174895534,True
e1_rr_08019054_10_M,08019054_10_M,ridge_direct,3,1406,4.101898221247346,4.332933218131885e-05,8.66586643626377e-05,True
e1_rr_08019054_10_M,08019054_10_M,ridge_direct,4,1398,4.515540991293516,6.8470304366297086e-06,1.7907618065031544e-05,True
e1_rr_08019054_10_M,08019054_10_M,ridge_direct,5,1387,4.667821842986121,3.338817352371848e-06,1.0319980907331166e-05,True
e1_rr_08019054_10_M,08019054_10_M,ridge_direct,6,1379,4.886309402550278,1.1477048409425097e-06,3.902196459204532e-06,True
e1_rr_08019054_10_M,08019054_10_M,ridge_direct,7,1372,4.965517010967608,7.712447003260792e-07,2.9135910901207437e-06,True
e1_rr_08019054_10_M,08019054_10_M,sarima,1,98,-0.4869034381382757,0.6274252017534359,0.6666392768630256,False
e1_rr_08019054_10_M,08019054_10_M,sarima,2,97,0.5783660438948928,0.5643713747318051,0.6189879593832701,False
e1_rr_08019054_10_M,08019054_10_M,sarima,3,94,1.0485383455551145,0.2971079538988888,0.3483334631918006,False
e1_rr_08019054_10_M,08019054_10_M,sarima,4,97,1.181535423862549,0.2403087579966618,0.2918034918530893,False
e1_rr_08019054_10_M,08019054_10_M,sarima,5,97,1.6960976131983718,0.0931080718596866,0.137638019270841,False
e1_rr_08019054_10_M,08019054_10_M,sarima,6,100,1.3030437586989143,0.1955824172324023,0.2462889698482103,False
e1_rr_08019054_10_M,08019054_10_M,sarima,7,96,1.381574575206045,0.1703429763596882,0.2316664478491759,False
e1_rr_08019054_10_M,08019054_10_M,seasonal_naive,1,1427,-6.067357923527597,1.6632619725953644e-09,7.068863383530299e-09,True
e1_rr_08019054_10_M,08019054_10_M,seasonal_naive,2,1416,-2.5800640119342044,0.0099782472592899,0.015420927582539,True
e1_rr_08019054_10_M,08019054_10_M,seasonal_naive,3,1406,-1.342500587966863,0.1796506045746708,0.2349277136745695,False
e1_rr_08019054_10_M,08019054_10_M,seasonal_naive,4,1398,-0.9478796231973944,0.3433546722097045,0.3891352951709984,False
e1_rr_08019054_10_M,08019054_10_M,seasonal_naive,5,1387,0.0436667064933396,0.965176368124204,0.965176368124204,False
e1_rr_08019054_10_M,08019054_10_M,seasonal_naive,6,1379,-0.255495106275497,0.798378852252208,0.8225721508053052,False
e1_rr_08019054_10_M,08019054_10_M,seasonal_naive,7,1372,,,,False
e1_rr_08019054_10_M,08019054_10_M,stl_ridge_direct,1,1427,-29.342522795476544,0.0,0.0,True
e1_rr_08019054_10_M,08019054_10_M,stl_ridge_direct,2,1416,-18.924729454507307,0.0,0.0,True
e1_rr_08019054_10_M,08019054_10_M,stl_ridge_direct,3,1406,-15.615056655941634,0.0,0.0,True
e1_rr_08019054_10_M,08019054_10_M,stl_ridge_direct,4,1398,-16.087024577303662,0.0,0.0,True
e1_rr_08019054_10_M,08019054_10_M,stl_ridge_direct,5,1387,-15.9869268736099,0.0,0.0,True
e1_rr_08019054_10_M,08019054_10_M,stl_ridge_direct,6,1379,-16.463653673756486,0.0,0.0,True
e1_rr_08019054_10_M,08019054_10_M,stl_ridge_direct,7,1372,-18.90435506535294,0.0,0.0,True
e1_rr_08263007_10_M,08263007_10_M,hgb_direct,1,1453,3.5776072472982787,0.0003581461768971,0.0005073737506042,True
e1_rr_08263007_10_M,08263007_10_M,hgb_direct,2,1439,6.1352072801647966,1.0973826292115516e-09,1.865550469659638e-09,True
e1_rr_08263007_10_M,08263007_10_M,hgb_direct,3,1429,6.615443430393738,5.223044219349049e-11,1.0446088438698098e-10,True
e1_rr_08263007_10_M,08263007_10_M,hgb_direct,4,1425,6.7464670817962755,2.1968871166677673e-11,4.6683851229190054e-11,True
e1_rr_08263007_10_M,08263007_10_M,hgb_direct,5,1422,6.542097230329196,8.443179488892838e-11,1.5948227923464248e-10,True
e1_rr_08263007_10_M,08263007_10_M,hgb_direct,6,1420,6.8842420413579655,8.696376951888851e-12,1.971178775761473e-11,True
e1_rr_08263007_10_M,08263007_10_M,hgb_direct,7,1420,6.502738241439033,1.0898926205982208e-10,1.950334163175763e-10,True
e1_rr_08263007_10_M,08263007_10_M,ridge_direct,1,1453,4.514578424400814,6.85693885027483e-06,1.110171051949258e-05,True
e1_rr_08263007_10_M,08263007_10_M,ridge_direct,2,1439,7.00933327198926,3.6699532302009175e-12,8.912743559059371e-12,True
e1_rr_08263007_10_M,08263007_10_M,ridge_direct,3,1429,7.218082495331744,8.535394613318203e-13,2.2323339757909146e-12,True
e1_rr_08263007_10_M,08263007_10_M,ridge_direct,4,1425,7.283699150296379,5.355715870791755e-13,1.517452830057664e-12,True
