dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag,station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code
e1_rr_45153999_10_M,hgb_direct,2,1546,0.2092429186473708,0.1319772330175439,0.1959595717602163,0.1402155983926818,0.287026129654984,0.0410031527319965,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,hgb_direct,3,1539,0.242048725240239,0.1742958668522156,0.1440520786916048,0.1016561527542672,0.2079852942664793,0.0348676220155095,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,hgb_direct,4,1536,0.2573729018469566,0.2066565164052896,0.1170497934823449,0.0809832628105532,0.1713802362271153,0.0301254450091381,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,hgb_direct,5,1533,0.2624578096915761,0.2206347298881108,0.1003603894924744,0.0712208646961085,0.1513615810556105,0.0263403680059883,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,hgb_direct,6,1529,0.2654950040980207,0.2258581721663677,0.0859820925754303,0.0595169683517804,0.1296568363254319,0.0228278160206702,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,hgb_direct,7,1526,0.2660563699960706,0.2260473105061421,0.0770980570668335,0.0542314945582125,0.1168542971002863,0.0205124291969516,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,ridge_direct,1,1551,0.0990226175122347,0.0322171578921048,0.3867358522080297,0.2277626491178915,0.6404800924345228,0.0382955963714638,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,ridge_direct,2,1546,0.1863445512844097,0.1065429202804422,0.1596756955081631,0.0967064792328421,0.2764717779087018,0.0297546958304946,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,ridge_direct,3,1539,0.228613020293565,0.1701960626946838,0.0954284219450966,0.0573461554034744,0.1603108926416171,0.0218161797627172,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,ridge_direct,4,1536,0.2459764884341624,0.2034850474855543,0.0666727310557073,0.0398983779357203,0.1150746855649481,0.0163999242593982,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
