station,horizon,rmse_lags_only,mae_lags_only,skill_rmse_vs_persistence_lags_only,skill_mae_vs_persistence_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_vs_persistence_lags_meteo,skill_mae_vs_persistence_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
Dublin Airport,23,13.5376104870657,8.518514537453303,0.2124817200983197,0.164961315855691,13.44689112676892,8.341254783175826,0.2177591030340278,0.1823374383372358,-0.09071936029678085,-0.1772597542774772,0.0052773829357080915,0.017376122481544826
Dublin Airport,24,13.753896575604944,8.620439044187144,0.2008251568146929,0.1476662216405428,12.924670243844975,8.210339338551973,0.2490076351404944,0.1882142528738042,-0.8292263317599691,-0.4100997056351705,0.0481824783258015,0.040548031233261395
Dundalk Co Louth,1,7.681984408075333,4.996384253702024,0.1816734138148211,0.1052742968084208,6.7983804649344375,4.691037523934343,0.2757996915992632,0.1599541520069498,-0.8836039431408951,-0.30534672976768107,0.0941262777844421,0.054679855198528984
Dundalk Co Louth,2,8.482811448691896,5.356830864317214,0.2430475075562607,0.1913018716719345,7.380515453918657,5.0814383094858675,0.3414094369355848,0.2328767224164485,-1.1022959947732387,-0.2753925548313463,0.09836192937932409,0.041574850744514
Dundalk Co Louth,3,7.605863210772783,5.28083409291901,0.3722986027599652,0.2543496850746719,6.86015658644352,5.0035884749159845,0.4338407416403552,0.2934965847382728,-0.7457066243292623,-0.2772456180030254,0.06154213888039001,0.039146899663600854
Dundalk Co Louth,4,7.209303553771064,5.278612630509724,0.440965626299294,0.3002204218458983,7.183080059835513,5.337025616903811,0.4429990868685659,0.2924766797229556,-0.026223493935551012,0.058412986394086985,0.0020334605692718943,-0.0077437421229427095
Dundalk Co Louth,5,8.358974645952314,6.313190464035869,0.3814833805931124,0.2465425215855271,9.005182047219762,6.29941668027701,0.3336677053223188,0.2481863751074976,0.6462074012674481,-0.013773783758859182,-0.047815675270793556,0.0016438535219704953
Dundalk Co Louth,6,8.231293363393934,6.267812303425877,0.4213453971907259,0.3066454654803539,7.5088789376353215,5.892121312799628,0.4721306643590774,0.3482049505636116,-0.7224144257586129,-0.3756909906262482,0.05078526716835152,0.04155948508325774
Dundalk Co Louth,7,7.894315017259712,6.0716091988711876,0.4631514027045177,0.3495285718972221,7.9181156939100115,6.008072567587749,0.461532850639334,0.3563354598134374,0.023800676650299835,-0.0635366312834389,-0.001618552065183687,0.0068068879162153095
Dundalk Co Louth,8,8.181148523115182,6.245828109773017,0.4409416427022989,0.3303028835385666,7.832599684404817,5.946211131142229,0.4647597094024547,0.3624287478923996,-0.34854883871036435,-0.2996169786307874,0.023818066700155793,0.03212586435383297
