station_id,province,municipality,station_code,first_date,last_date,usable_days,usable_years,coverage_total,support_days,source_years_present,usable_days_2020,usable_days_2021,usable_days_2022,usable_days_2023
21064002_10_49,21,64,2,2020-01-01,2023-12-31,1318,3,0.902121834360,1461,4,319,344,298,357
23010002_10_49,23,10,2,2020-01-01,2023-12-31,1434,4,0.981519507187,1461,4,361,361,350,362
23050003_10_49,23,50,3,2020-01-01,2023-12-31,1414,4,0.967830253251,1461,4,341,355,362,356
23097001_10_49,23,97,1,2020-01-01,2023-12-31,1413,4,0.967145790554,1461,4,351,350,351,361
24038001_10_47,24,38,1,2020-01-01,2023-12-31,1401,4,0.958932238193,1461,4,341,334,361,365
24089006_10_49,24,89,6,2020-01-01,2023-12-31,1436,4,0.982888432580,1461,4,361,364,364,347
24089010_10_49,24,89,10,2020-01-01,2023-12-31,1434,4,0.981519507187,1461,4,365,363,346,360
24115015_10_49,24,115,15,2020-01-01,2022-12-31,1082,3,0.987226277372,1096,3,362,355,365,0
24134006_10_49,24,134,6,2020-01-01,2023-12-31,1454,4,0.995208761123,1461,4,366,362,365,361
24181001_10_49,24,181,1,2020-05-25,2023-12-31,1308,3,0.993920972644,1316,4,220,364,365,359
26011001_10_49,26,11,1,2020-01-01,2023-12-31,1391,4,0.952087611225,1461,4,341,349,344,357
26019001_10_49,26,19,1,2020-01-01,2023-12-31,1400,4,0.958247775496,1461,4,342,355,354,349
26066001_10_49,26,66,1,2020-01-01,2023-12-31,1439,4,0.984941820671,1461,4,363,353,362,361
26089001_10_49,26,89,1,2020-01-01,2023-12-31,1424,4,0.974674880219,1461,4,357,355,353,359
26117001_10_49,26,117,1,2020-01-01,2023-12-31,1412,4,0.966461327858,1461,4,355,353,346,358
27013002_10_47,27,13,2,2020-01-01,2023-10-22,1359,3,0.976994967649,1391,4,366,362,362,269
27025015_10_47,27,25,15,2020-01-01,2023-12-31,1453,4,0.994524298426,1461,4,366,363,363,361
27028005_10_49,27,28,5,2020-01-01,2023-12-31,1412,4,0.966461327858,1461,4,349,359,362,342
27033001_10_47,27,33,1,2020-01-01,2023-12-31,1411,4,0.965776865161,1461,4,345,342,363,361
27065004_10_47,27,65,4,2020-01-01,2023-12-31,1439,4,0.984941820671,1461,4,363,357,361,358
28005002_10_49,28,5,2,2020-01-01,2023-12-31,1436,4,0.982888432580,1461,4,354,361,364,357
28006004_10_49,28,6,4,2020-01-01,2023-12-31,1446,4,0.989733059548,1461,4,358,361,365,362
28013002_10_49,28,13,2,2020-01-01,2023-12-31,1429,4,0.978097193703,1461,4,362,360,356,351
28014002_10_49,28,14,2,2020-01-01,2023-12-31,1460,4,0.999315537303,1461,4,366,364,365,365
28016001_10_49,28,16,1,2020-01-01,2023-12-31,1448,4,0.991101984942,1461,4,362,359,365,362
28045002_10_49,28,45,2,2020-01-01,2023-12-31,1455,4,0.995893223819,1461,4,366,365,364,360
28049003_10_49,28,49,3,2020-01-02,2023-12-31,1446,4,0.990410958904,1460,4,364,364,357,361
28058004_10_49,28,58,4,2020-01-02,2023-12-31,1455,4,0.996575342466,1460,4,363,364,364,364
28065014_10_49,28,65,14,2020-01-01,2023-12-31,1454,4,0.995208761123,1461,4,364,365,362,363
28067001_10_49,28,67,1,2020-01-01,2023-12-31,1452,4,0.993839835729,1461,4,364,362,364,362
28074007_10_49,28,74,7,2020-01-01,2023-12-31,1443,4,0.987679671458,1461,4,365,362,352,364
28079008_10_47,28,79,8,2020-01-01,2023-12-31,1344,4,0.919917864476,1461,4,339,334,315,356
28079018_10_47,28,79,18,2020-01-01,2023-12-31,1380,4,0.944558521561,1461,4,356,363,314,347
28079024_10_47,28,79,24,2020-01-01,2023-12-31,1417,4,0.969883641342,1461,4,363,347,359,348
28079036_10_47,28,79,36,2020-01-01,2023-12-31,1422,4,0.973305954825,1461,4,351,356,353,362
28079038_10_47,28,79,38,2020-01-01,2023-12-31,1393,4,0.953456536619,1461,4,366,361,308,358
28079040_10_47,28,79,40,2020-01-01,2023-12-31,1415,4,0.968514715948,1461,4,351,345,365,354
28079047_10_47,28,79,47,2020-01-01,2023-12-31,1389,4,0.950718685832,1461,4,354,344,341,350
28079048_10_47,28,79,48,2020-01-01,2023-12-31,1409,4,0.964407939767,1461,4,355,360,361,333
28079050_10_47,28,79,50,2020-01-01,2023-12-31,1423,4,0.973990417522,1461,4,362,360,344,357
28079055_10_47,28,79,55,2020-01-01,2023-12-31,1374,4,0.940451745380,1461,4,345,338,342,349
28079056_10_47,28,79,56,2020-01-01,2023-12-31,1442,4,0.986995208761,1461,4,364,362,361,355
28079057_10_47,28,79,57,2020-01-01,2023-12-31,1414,4,0.967830253251,1461,4,353,349,356,356
28079060_10_47,28,79,60,2020-01-01,2023-12-31,1438,4,0.984257357974,1461,4,365,361,352,360
28080003_10_49,28,80,3,2020-01-01,2023-12-31,1458,4,0.997946611910,1461,4,363,365,365,365
28092005_10_49,28,92,5,2020-01-01,2023-12-31,1457,4,0.997262149213,1461,4,366,365,364,362
28102001_10_49,28,102,1,2020-01-01,2023-12-31,1445,4,0.989048596851,1461,4,360,364,365,356
28120001_10_49,28,120,1,2020-01-01,2023-12-31,1439,4,0.984941820671,1461,4,359,357,362,361
28123002_10_49,28,123,2,2020-01-01,2023-12-31,1435,4,0.982203969884,1461,4,362,357,359,357
28133002_10_49,28,133,2,2020-01-01,2023-12-31,1455,4,0.995893223819,1461,4,362,363,365,365
