dataset,model,horizon,n_recomputed,n_canonical,n_match,alpha_recomputed,alpha_canonical,alpha_abs_diff,alpha_within_tol,skill_recomputed,skill_canonical,skill_abs_diff,skill_within_tol,collapse_flag_recomputed,collapse_flag_canonical,collapse_match,near_ideal_flag_recomputed,near_ideal_flag_canonical,near_ideal_match
e1_rr_08019043_10_M,stl_ridge_direct,1,1155,1155,True,1.4619840340426025,1.4619840340426025,0.0,True,-2.171519499093407,-2.171519499093407,0.0,True,False,False,True,False,False,True
e1_rr_08019043_10_M,stl_ridge_direct,2,1148,1148,True,1.268620879947843,1.268620879947843,0.0,True,-1.6578988183861658,-1.6578988183861658,0.0,True,False,False,True,False,False,True
e1_rr_08019043_10_M,stl_ridge_direct,3,1139,1139,True,1.2381031197853476,1.2381031197853476,0.0,True,-1.5356848875275615,-1.5356848875275615,0.0,True,False,False,True,False,False,True
e1_rr_08019043_10_M,stl_ridge_direct,4,1134,1134,True,1.1598241645699974,1.1598241645699974,0.0,True,-1.3629155131951043,-1.3629155131951038,4.440892098500626e-16,True,False,False,True,False,False,True
e1_rr_08019043_10_M,stl_ridge_direct,5,1127,1127,True,1.123708096534114,1.123708096534114,0.0,True,-1.3077555514784214,-1.3077555514784214,0.0,True,False,False,True,False,False,True
e1_rr_08019043_10_M,stl_ridge_direct,6,1123,1123,True,1.0933431447620365,1.0933431447620363,2.220446049250313e-16,True,-1.3601694716656518,-1.3601694716656518,0.0,True,False,False,True,False,False,True
e1_rr_08019043_10_M,stl_ridge_direct,7,1118,1118,True,1.104502413785505,1.104502413785505,0.0,True,-1.4519747750391638,-1.4519747750391638,0.0,True,False,False,True,False,False,True
e1_rr_08019045_10_M,hgb_direct,1,1486,1486,True,0.43609186457186794,0.4360918645718678,1.1102230246251565e-16,True,0.09813434207212224,0.0981343420721223,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,hgb_direct,2,1476,1476,True,0.22638605171110457,0.2263860517111045,5.551115123125783e-17,True,0.15070497025094076,0.1507049702509407,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,hgb_direct,3,1467,1467,True,0.14438599221895818,0.1443859922189581,8.326672684688674e-17,True,0.1821960317857415,0.1821960317857415,0.0,True,True,True,True,False,False,True
e1_rr_08019045_10_M,hgb_direct,4,1459,1459,True,0.09549311102936248,0.0954931110293624,6.938893903907228e-17,True,0.2167163652989592,0.2167163652989592,0.0,True,True,True,True,False,False,True
e1_rr_08019045_10_M,hgb_direct,5,1454,1454,True,0.08907194638943425,0.0890719463894342,4.163336342344337e-17,True,0.21817016275571022,0.2181701627557102,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,hgb_direct,6,1451,1451,True,0.0810139061455848,0.0810139061455848,0.0,True,0.21191442626158163,0.2119144262615816,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,hgb_direct,7,1447,1447,True,0.07911060162721154,0.0791106016272115,4.163336342344337e-17,True,0.20703380775747127,0.2070338077574712,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,ridge_direct,1,1486,1486,True,0.44339005632066175,0.4433900563206617,5.551115123125783e-17,True,0.0941855775586321,0.0941855775586321,0.0,True,True,True,True,False,False,True
e1_rr_08019045_10_M,ridge_direct,2,1476,1476,True,0.17634456097684412,0.1763445609768441,2.7755575615628914e-17,True,0.16097897237259995,0.1609789723725999,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,ridge_direct,3,1467,1467,True,0.08475862912913655,0.0847586291291365,5.551115123125783e-17,True,0.20354906392219418,0.2035490639221941,8.326672684688674e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,ridge_direct,4,1459,1459,True,0.04766881675416533,0.0476688167541653,2.7755575615628914e-17,True,0.23601557046012278,0.2360155704601227,8.326672684688674e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,ridge_direct,5,1454,1454,True,0.043260571486302524,0.0432605714863025,2.0816681711721685e-17,True,0.24132681233816378,0.2413268123381637,8.326672684688674e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,ridge_direct,6,1451,1451,True,0.036823589648820654,0.0368235896488206,5.551115123125783e-17,True,0.2358624863847505,0.2358624863847505,0.0,True,True,True,True,False,False,True
e1_rr_08019045_10_M,ridge_direct,7,1447,1447,True,0.03395511039421236,0.0339551103942123,6.245004513516506e-17,True,0.23299082390057924,0.2329908239005792,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019045_10_M,sarima,1,170,170,True,0.7606391377573289,0.7606391377573289,0.0,True,-0.08776941433335916,0.152067846604338,0.23983726093769717,False,False,False,True,False,False,True
e1_rr_08019045_10_M,sarima,2,166,166,True,0.2933102725800243,0.2933102725800243,0.0,True,0.07906629008842847,0.2279081871399637,0.14884189705153522,False,True,True,True,False,False,True
e1_rr_08019045_10_M,sarima,3,167,167,True,0.17065558224454735,0.1706555822445473,5.551115123125783e-17,True,0.2508799248004482,0.3007737474075614,0.049893822607113225,False,True,True,True,False,False,True
e1_rr_08019045_10_M,sarima,4,168,168,True,0.0797308475249661,0.0797308475249661,0.0,True,0.25819590328248365,0.3269467632766175,0.06875085999413383,False,True,True,True,False,False,True
