dataset,station,model,horizon,threshold_type,threshold_value,recall,precision,f1,flag_rate,base_rate,station_id,station_name,station_type,province
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,6,abs_50,50.0,0.0,0.0,,0.0104947526236881,0.0097451274362818,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,6,p75,28.826686656671665,0.3041666666666666,0.3258928571428571,0.3146551724137931,0.1679160419790105,0.1799100449775112,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,6,p90,35.167383808095956,0.108695652173913,0.1176470588235294,0.1129943502824858,0.0637181409295352,0.0689655172413793,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,7,abs_50,50.0,0.0,0.0,,0.0097670924117205,0.0097670924117205,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,7,p75,28.825131480090157,0.3041666666666666,0.3273542600896861,0.3153347732181425,0.1675432006010518,0.1803155522163786,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,7,p90,35.165266716754324,0.1063829787234042,0.119047619047619,0.1123595505617977,0.0631104432757325,0.0706235912847483,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,1,abs_50,50.0,0.6666666666666666,0.0218579234972677,0.0423280423280423,0.2703101920236336,0.0088626292466765,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,1,p75,28.828914327917285,0.9957081545064378,0.1766945925361767,0.3001293661060802,0.9697193500738552,0.1720827178729689,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,1,p90,35.16906203840473,0.9655172413793104,0.0730434782608695,0.1358124494745351,0.8493353028064993,0.0642540620384047,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,2,abs_50,50.0,0.5384615384615384,0.0174563591022443,0.0338164251207729,0.2976985894580549,0.0096510764662212,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,2,p75,28.831607275426876,0.9956709956709956,0.1737160120845921,0.2958199356913183,0.9829250185597624,0.1714922048997773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,2,p90,35.17281365998515,0.9418604651162792,0.0685279187817258,0.1277602523659306,0.8775055679287305,0.0638455827765404,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,3,abs_50,50.0,0.5333333333333333,0.0192307692307692,0.037122969837587,0.3088344469190794,0.0111358574610244,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,3,p75,28.827004454342983,1.0,0.1741741741741741,0.2966751918158567,0.9888641425389756,0.1722345953971789,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,3,p90,35.167297698589465,0.9325842696629212,0.0689941812136325,0.1284829721362229,0.8930957683741648,0.0660727542687453,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,4,abs_50,50.0,0.5333333333333333,0.0193236714975845,0.0372960372960372,0.3078066914498141,0.0111524163568773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,4,p75,28.82587360594796,1.0,0.1769977595220313,0.3007614213197969,0.995539033457249,0.1762081784386617,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,4,p90,35.16591821561339,0.945054945054945,0.0715474209650582,0.1330239752513534,0.8936802973977696,0.0676579925650557,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,5,abs_50,50.0,0.4285714285714285,0.0147420147420147,0.0285035629453681,0.3039581777445855,0.0104555638536221,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,5,p75,28.82520537714712,1.0,0.1788922155688622,0.3034920634920635,0.9977595220313666,0.1784914115011202,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,5,p90,35.16529499626587,0.956043956043956,0.0717821782178217,0.133537989255564,0.9051530993278566,0.0679611650485436,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,6,abs_50,50.0,0.3846153846153846,0.0124688279301745,0.0241545893719806,0.300599700149925,0.0097451274362818,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,6,p75,28.826686656671665,1.0,0.1799100449775112,0.3049555273189326,1.0,0.1799100449775112,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,6,p90,35.167383808095956,0.9565217391304348,0.0725474031327287,0.1348659003831417,0.909295352323838,0.0689655172413793,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,7,abs_50,50.0,0.3846153846153846,0.0126582278481012,0.0245098039215686,0.2967693463561232,0.0097670924117205,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,7,p75,28.825131480090157,1.0,0.1803155522163786,0.305537873965627,1.0,0.1803155522163786,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,stl_ridge_direct,7,p90,35.165266716754324,0.9574468085106383,0.0732899022801303,0.1361573373676248,0.9226145755071374,0.0706235912847483,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
