dataset,model,horizon,mse,bias_sq,cond_bias_sq,irreducible_sq,rho,std_pred_ug,std_true_ug,alpha
e1_rr_08019028_10_M,seasonal_naive,2,146.50914446002807,0.018968977258645613,58.78673569319404,87.70343978957536,0.21760246439647682,9.75513130221338,9.594930148055685,1.0336716465812408
e1_rr_08019028_10_M,seasonal_naive,3,144.8153102961918,0.041854580738078455,57.956561747182946,86.8168939682708,0.2245179166616009,9.759686518745228,9.561668128675326,1.0418481020058352
e1_rr_08019028_10_M,seasonal_naive,4,142.8347375886525,0.10597102761430488,54.86568593369374,87.86308062734442,0.2368770989495231,9.692556170248634,9.648119978981214,1.0092325802106015
e1_rr_08019028_10_M,seasonal_naive,5,142.6978245363766,0.11853826610039579,55.02370759625463,87.55557867402158,0.2401074254872637,9.732214413384048,9.639092701876464,1.0194150074656814
e1_rr_08019028_10_M,seasonal_naive,6,143.77919285714285,0.08927290306122418,55.35531601398811,88.33460394009353,0.23980938074372496,9.76174468948318,9.681144914582307,1.0167201895731224
e1_rr_08019028_10_M,seasonal_naive,7,146.17690544412608,0.04679969786783471,56.83142865141763,89.29867709484064,0.23748337234376576,9.848925003093184,9.72810315748998,1.0249940075411548
e1_rr_08019028_10_M,stl_ridge_direct,1,825.6892905075262,669.1799066834344,78.7570153981793,77.75236842591227,0.4117894328007957,12.859077376735986,9.67621342509993,1.7660733676422002
e1_rr_08019028_10_M,stl_ridge_direct,2,860.0218016959598,688.708836569381,87.35324940822174,83.95971571835696,0.2966745325195681,12.192867442371336,9.594930148055685,1.6148346879114406
e1_rr_08019028_10_M,stl_ridge_direct,3,867.3069753743572,695.1411892752545,87.05544603110407,85.11034006799919,0.2628200064292821,11.843348477983668,9.561668128675326,1.534198961508409
e1_rr_08019028_10_M,stl_ridge_direct,4,867.1797031750938,697.2406724926175,83.13154005780608,86.80749062467004,0.25971268172490913,11.623389033022987,9.648119978981214,1.4513767330697773
e1_rr_08019028_10_M,stl_ridge_direct,5,869.979650308099,701.6392616053656,81.50746091897615,86.83292778375754,0.25579164576264013,11.49374764113285,9.639092701876464,1.421840893697212
e1_rr_08019028_10_M,stl_ridge_direct,6,876.7343958272406,710.9439410107955,78.14541422999683,87.6450405864485,0.25468780394981105,11.305659030655484,9.681144914582307,1.363761182404448
e1_rr_08019028_10_M,stl_ridge_direct,7,884.455943538323,718.3361584180682,77.21024262357662,88.90954249667831,0.24598833569275708,11.179935811580894,9.72810315748998,1.3207550676421287
e1_rr_08019043_10_M,hgb_direct,1,56.36835411765702,0.4895806964712281,0.9363655687896764,54.94240785239612,0.5443604286623922,5.777773536513767,8.83626627098029,0.4275465851538352
e1_rr_08019043_10_M,hgb_direct,2,73.07670058497087,1.0587990911517184,1.2170535920180536,70.80084790180109,0.3077906457792607,3.8251932465080563,8.843646694955885,0.18708716432382205
e1_rr_08019043_10_M,hgb_direct,3,79.99725628982873,1.7472360055445604,2.5724880045032488,75.67753227978092,0.19334383061593835,3.3181975512086823,8.866586495113411,0.1400527261565961
e1_rr_08019043_10_M,hgb_direct,4,84.76875049488913,2.2860395098571806,3.799710892984571,78.68300009204741,0.13360530276468544,3.145130901902059,8.950589265470782,0.12347362399079052
e1_rr_08019043_10_M,hgb_direct,5,86.83785442573331,2.4374137939717158,4.783413216853642,79.61702741490794,0.09445224388053595,3.0336682375105264,8.962907037391439,0.1145614192038644
e1_rr_08019043_10_M,hgb_direct,6,85.77517531140136,2.4612939339577973,4.856854811857267,78.45702656558629,0.10138813361087126,3.1065342465840513,8.903477207199744,0.1217399134952659
e1_rr_08019043_10_M,hgb_direct,7,82.98009971418824,2.4663533348044564,3.812594346500199,76.7011520328836,0.14355491555782637,3.2229873197435777,8.849580220341563,0.13263918749115264
e1_rr_08019043_10_M,persistence,1,69.92791341991341,0.0019041322314049057,15.496413536081304,54.42959575160074,0.5503599619656027,8.799675598096488,8.83626627098029,0.9917352167965885
e1_rr_08019043_10_M,persistence,2,104.37006097560977,0.010333749650961316,34.44543137143514,69.91429585452369,0.3256848203160897,8.749264518599334,8.843646694955885,0.9787692698558855
e1_rr_08019043_10_M,persistence,3,116.90841966637402,0.012218109473292039,43.14588875006669,73.75031280683403,0.2487892025894865,8.774464001793973,8.866586495113411,0.9793282512993597
e1_rr_08019043_10_M,persistence,4,135.75274250440916,0.008919753086419187,57.19946228235095,78.5443604689718,0.1399318647449366,8.815505257966047,8.950589265470782,0.9700433911843225
e1_rr_08019043_10_M,persistence,5,143.2846051464064,0.006505488812554186,63.644017390369996,79.63408226722385,0.0933216281666129,8.814153140006633,8.962907037391439,0.967082222017256
e1_rr_08019043_10_M,persistence,6,138.12750667853962,0.014558582032449157,59.731937378867066,78.3810107176401,0.10601169312933414,8.672516648196078,8.903477207199744,0.9487919295585887
e1_rr_08019043_10_M,persistence,7,129.53321109123436,0.02933958384669755,52.407626120654655,77.096245386733,0.12475212473127303,8.343315098876214,8.849580220341563,0.8888571097663709
e1_rr_08019043_10_M,ridge_direct,1,56.51381841708168,0.5799384731127751,1.2301010064641817,54.70377893750474,0.5471603991291456,5.943954166577923,8.83626627098029,0.452494510795521
e1_rr_08019043_10_M,ridge_direct,2,71.62726380832723,1.5167517880208365,0.3174938327927174,69.79301818751368,0.3280568052549298,3.464684392491676,8.843646694955885,0.1534845238091155
e1_rr_08019043_10_M,ridge_direct,3,76.14844943800676,2.0844781239535233,0.1917067808519977,73.87226453320123,0.24565187042268466,2.6159368859058287,8.866586495113411,0.08704455577266686
