station_id,provincia,municipio,estacion,source_years_present,usable_years_300_days_at_75pct,overall_coverage_fraction,metadata_conflict_flag,included_under_proposed_contract,exclusion_reasons
34023003_10_49,34,23,3,4,4,0.9736767054528862,NO,YES,
34023004_10_49,34,23,4,2,2,0.48633926534337213,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
34080004_10_49,34,80,4,4,4,0.9879078256901666,NO,YES,
34120008_10_49,34,120,8,4,4,0.9870522473191877,NO,YES,
34214001_10_46,34,214,1,1,1,0.24914442162902123,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
34225001_10_49,34,225,1,2,2,0.49643509012092174,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
35002001_10_A,35,2,1,4,4,0.9430755190508784,NO,YES,
35002002_10_A,35,2,2,1,0,0.1943874058863792,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
35004001_10_49,35,4,1,4,4,0.9769849418206707,NO,YES,
35004002_10_49,35,4,2,4,2,0.7112137805156286,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
35006001_10_49,35,6,1,4,4,0.9226271959844855,NO,YES,
35016010_10_49,35,16,10,4,4,0.9817476614191193,NO,YES,
35016011_10_49,35,16,11,4,1,0.6119381702030573,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
35016012_10_49,35,16,12,4,3,0.9038329911019849,NO,YES,
35016014_10_49,35,16,14,4,2,0.7379363449691991,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
35017001_10_47,35,17,1,4,4,0.9581051791010723,NO,YES,
35017002_10_47,35,17,2,4,4,0.974218571754506,NO,YES,
35017003_10_49,35,17,3,4,3,0.8983572895277208,NO,YES,
35017004_10_49,35,17,4,4,4,0.9507186858316222,NO,YES,
35017005_10_49,35,17,5,4,4,0.9433036732831394,NO,YES,
35019001_10_A,35,19,1,4,4,0.9632956878850103,NO,YES,
35019002_10_A,35,19,2,2,1,0.39693132557608946,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
35019004_10_47,35,19,4,4,4,0.9732774355464294,NO,YES,
35022003_10_49,35,22,3,3,3,0.7153205566963268,NO,NO,overall_hourly_coverage_below_0.75
35024001_10_49,35,24,1,4,4,0.9583333333333334,NO,YES,
35024002_10_49,35,24,2,4,4,0.9749600730093543,NO,YES,
