station_id,horizon,expected_keys,xgboost_keys,sarima_keys,persistence_keys,common_keys,removed_keys,duplicate_xgboost_keys,duplicate_sarima_keys,y_true_mismatch_keys,y_persistence_mismatch_keys,reason
11012002_10_49,6,781,781,781,781,781,0,0,0,0,0,OK
11012002_10_49,7,780,780,780,780,780,0,0,0,0,0,OK
11020003_10_49,all,2801,2801,2801,2801,2801,0,0,0,0,0,OK
11020003_10_49,1,409,409,409,409,409,0,0,0,0,0,OK
11020003_10_49,2,409,409,409,409,409,0,0,0,0,0,OK
11020003_10_49,3,407,407,407,407,407,0,0,0,0,0,OK
11020003_10_49,4,396,396,396,396,396,0,0,0,0,0,OK
11020003_10_49,5,394,394,394,394,394,0,0,0,0,0,OK
11020003_10_49,6,394,394,394,394,394,0,0,0,0,0,OK
11020003_10_49,7,392,392,392,392,392,0,0,0,0,0,OK
11020004_10_49,all,1731,1731,1731,1731,1731,0,0,0,0,0,OK
11020004_10_49,1,246,246,246,246,246,0,0,0,0,0,OK
11020004_10_49,2,246,246,246,246,246,0,0,0,0,0,OK
11020004_10_49,3,248,248,248,248,248,0,0,0,0,0,OK
11020004_10_49,4,248,248,248,248,248,0,0,0,0,0,OK
11020004_10_49,5,244,244,244,244,244,0,0,0,0,0,OK
11020004_10_49,6,246,246,246,246,246,0,0,0,0,0,OK
11020004_10_49,7,253,253,253,253,253,0,0,0,0,0,OK
11022005_10_49,all,4704,4704,4704,4704,4704,0,0,0,0,0,OK
11022005_10_49,1,690,690,690,690,690,0,0,0,0,0,OK
11022005_10_49,2,681,681,681,681,681,0,0,0,0,0,OK
11022005_10_49,3,676,676,676,676,676,0,0,0,0,0,OK
11022005_10_49,4,671,671,671,671,671,0,0,0,0,0,OK
11022005_10_49,5,666,666,666,666,666,0,0,0,0,0,OK
11022005_10_49,6,662,662,662,662,662,0,0,0,0,0,OK
11022005_10_49,7,658,658,658,658,658,0,0,0,0,0,OK
11028001_10_49,all,3942,3942,3942,3942,3942,0,0,0,0,0,OK
11028001_10_49,1,570,570,570,570,570,0,0,0,0,0,OK
11028001_10_49,2,564,564,564,564,564,0,0,0,0,0,OK
11028001_10_49,3,562,562,562,562,562,0,0,0,0,0,OK
11028001_10_49,4,562,562,562,562,562,0,0,0,0,0,OK
11028001_10_49,5,561,561,561,561,561,0,0,0,0,0,OK
11028001_10_49,6,563,563,563,563,563,0,0,0,0,0,OK
11028001_10_49,7,560,560,560,560,560,0,0,0,0,0,OK
11033004_10_49,all,5730,5730,5730,5730,5730,0,0,0,0,0,OK
11033004_10_49,1,834,834,834,834,834,0,0,0,0,0,OK
11033004_10_49,2,828,828,828,828,828,0,0,0,0,0,OK
11033004_10_49,3,822,822,822,822,822,0,0,0,0,0,OK
11033004_10_49,4,818,818,818,818,818,0,0,0,0,0,OK
11033004_10_49,5,813,813,813,813,813,0,0,0,0,0,OK
11033004_10_49,6,809,809,809,809,809,0,0,0,0,0,OK
11033004_10_49,7,806,806,806,806,806,0,0,0,0,0,OK
12005005_10_49,all,2469,2469,2469,2469,2469,0,0,0,0,0,OK
12005005_10_49,1,367,367,367,367,367,0,0,0,0,0,OK
12005005_10_49,2,358,358,358,358,358,0,0,0,0,0,OK
12005005_10_49,3,353,353,353,353,353,0,0,0,0,0,OK
12005005_10_49,4,348,348,348,348,348,0,0,0,0,0,OK
12005005_10_49,5,352,352,352,352,352,0,0,0,0,0,OK
12005005_10_49,6,345,345,345,345,345,0,0,0,0,0,OK
12005005_10_49,7,346,346,346,346,346,0,0,0,0,0,OK
12009007_10_46,all,4021,4021,4021,4021,4021,0,0,0,0,0,OK
12009007_10_46,1,592,592,592,592,592,0,0,0,0,0,OK
12009007_10_46,2,580,580,580,580,580,0,0,0,0,0,OK
