station_id,provincia,municipio,estacion,first_timestamp_utc,last_timestamp_utc,expected_hourly_observations,observed_valid_pm10_observations,coverage_fraction,number_of_source_years_present,longest_missing_run_hours,days_with_sufficient_hourly_support_75pct,expected_hours_2020,valid_hours_2020,coverage_2020,source_days_2020,usable_days_75pct_2020,expected_hours_2021,valid_hours_2021,coverage_2021,source_days_2021,usable_days_75pct_2021,expected_hours_2022,valid_hours_2022,coverage_2022,source_days_2022,usable_days_75pct_2022,expected_hours_2023,valid_hours_2023,coverage_2023,source_days_2023,usable_days_75pct_2023
09059006_10_49,9,59,6,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33706,0.9612708190736938,4,163,1408,8784,8429,0.9595856102003643,360,354,8760,8323,0.9501141552511415,354,347,8760,8370,0.9554794520547946,357,346,8760,8584,0.9799086757990868,362,361
09209001_10_49,9,209,1,2020-02-03T17:00:00Z,2023-01-01T00:00:00Z,35064,15964,0.4552817704768423,3,9079,664,8784,7683,0.8746584699453552,326,320,8760,417,0.047602739726027396,18,17,8760,7864,0.897716894977169,335,327,8760,0,0.0,0,0
09219001_10_49,9,219,1,2020-01-01T01:00:00Z,2020-05-11T09:00:00Z,35064,3094,0.08823864932694502,1,31911,128,8784,3094,0.3522313296903461,131,128,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0
09219002_10_49,9,219,2,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34435,0.9820613734884782,4,83,1441,8784,8659,0.9857695810564663,365,362,8760,8475,0.9674657534246576,361,354,8760,8699,0.9930365296803653,365,365,8760,8602,0.9819634703196347,362,360
11004007_10_49,11,4,7,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,30633,0.873631074606434,4,1906,1264,8784,6103,0.6947859744990893,270,247,8760,7974,0.9102739726027397,352,325,8760,8040,0.9178082191780822,343,336,8760,8516,0.9721461187214612,362,356
11006001_10_49,11,6,1,2020-01-01T01:00:00Z,2021-01-01T00:00:00Z,35064,8581,0.24472393337896417,1,26280,357,8784,8581,0.9768897996357013,364,357,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0
11008001_10_49,11,8,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31403,0.895590919461556,4,487,1306,8784,8119,0.9242941712204007,348,340,8760,7941,0.9065068493150685,349,327,8760,7924,0.9045662100456621,343,329,8760,7419,0.8469178082191781,322,310
11008003_10_49,11,8,3,2023-03-20T00:00:00Z,2023-12-31T23:00:00Z,35064,6784,0.19347478895733516,1,28175,283,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,6784,0.7744292237442922,288,283
11008006_10_49,11,8,6,2023-01-01T01:00:00Z,2023-12-31T23:00:00Z,35064,8577,0.24460985626283369,1,26304,357,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8577,0.9791095890410959,364,357
11008009_10_49,11,8,9,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33339,0.9508042436687201,4,216,1392,8784,8301,0.9450136612021858,355,345,8760,8564,0.9776255707762557,365,358,8760,8500,0.9703196347031964,360,357,8760,7974,0.9102739726027397,343,332
