station_id,condition,fold,origin,target_time,horizon,reason
21041008_10_49,lags_only,17,2023-03-04,2023-03-11,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-05,2023-03-06,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-05,2023-03-07,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-05,2023-03-08,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-05,2023-03-09,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-05,2023-03-10,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-05,2023-03-11,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-05,2023-03-12,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-06,2023-03-07,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-06,2023-03-08,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-06,2023-03-09,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-06,2023-03-10,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-06,2023-03-11,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-06,2023-03-12,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-06,2023-03-13,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-07,2023-03-08,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-07,2023-03-09,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-07,2023-03-10,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-07,2023-03-11,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-07,2023-03-12,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-07,2023-03-13,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-07,2023-03-14,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-08,2023-03-09,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-08,2023-03-10,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-08,2023-03-11,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-08,2023-03-12,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-08,2023-03-13,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-08,2023-03-14,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-09,2023-03-10,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-09,2023-03-11,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-09,2023-03-12,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-09,2023-03-13,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-09,2023-03-14,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-10,2023-03-11,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-10,2023-03-12,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-10,2023-03-13,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-10,2023-03-14,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-10,2023-03-17,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-11,2023-03-12,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-11,2023-03-13,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-11,2023-03-14,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-11,2023-03-17,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-11,2023-03-18,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-13,2023-03-14,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-13,2023-03-17,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-13,2023-03-18,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-13,2023-03-19,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-13,2023-03-20,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-14,2023-03-17,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-14,2023-03-18,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-14,2023-03-19,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-14,2023-03-20,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-14,2023-03-21,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-15,2023-03-17,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-15,2023-03-18,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-15,2023-03-19,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-15,2023-03-20,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-15,2023-03-21,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-15,2023-03-22,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-20,2023-03-21,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-20,2023-03-22,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-20,2023-03-23,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-20,2023-03-24,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-20,2023-03-25,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-20,2023-03-26,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-20,2023-03-27,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-24,2023-03-25,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-24,2023-03-26,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-24,2023-03-27,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-24,2023-03-28,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-24,2023-03-29,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-24,2023-03-30,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-24,2023-03-31,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-25,2023-03-26,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-25,2023-03-27,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-25,2023-03-28,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-25,2023-03-29,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-25,2023-03-30,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-25,2023-03-31,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-25,2023-04-01,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-26,2023-03-27,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-26,2023-03-28,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-26,2023-03-29,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-26,2023-03-30,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-26,2023-03-31,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-26,2023-04-01,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-26,2023-04-02,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-27,2023-03-28,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-27,2023-03-29,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-27,2023-03-30,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-27,2023-03-31,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-27,2023-04-01,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-27,2023-04-02,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-27,2023-04-03,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-28,2023-03-29,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-28,2023-03-30,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-28,2023-03-31,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-28,2023-04-01,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-28,2023-04-02,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-28,2023-04-03,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-28,2023-04-04,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-31,2023-04-01,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-31,2023-04-02,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-31,2023-04-03,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-31,2023-04-04,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-31,2023-04-05,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-31,2023-04-06,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-03-31,2023-04-07,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-04-01,2023-04-02,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-04-01,2023-04-03,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-04-01,2023-04-04,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-04-01,2023-04-05,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-04-01,2023-04-06,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-04-01,2023-04-07,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,18,2023-04-01,2023-04-08,7,historical_nan_block_numbering_divergence
