site,source_station,origin,target_date,forecast_timestamp,horizon,y_true,yhat_lags,yhat_meteo,error_lags,error_meteo,sq_error_lags,sq_error_meteo,loss_differential
Birr (Co. Offaly),Birr co offlay,2023-04-26,2023-04-26 01:00:00,2023-04-26 01:00:00,1,25.42,13.8240709305,14.899971962,11.5959290695,10.520028038,134.465570985,110.670989921,23.7945810645
Birr (Co. Offaly),Birr co offlay,2023-04-27,2023-04-27 01:00:00,2023-04-27 01:00:00,1,15.53,13.9962892532,14.1737518311,1.53371074677,1.35624816895,2.35226865474,1.83940909577,0.512859558975
Birr (Co. Offaly),Birr co offlay,2023-04-28,2023-04-28 01:00:00,2023-04-28 01:00:00,1,8.72,15.5290718079,14.6551208496,-6.80907180786,-5.93512084961,46.3634588846,35.2256594995,11.1377993851
Birr (Co. Offaly),Birr co offlay,2023-04-29,2023-04-29 01:00:00,2023-04-29 01:00:00,1,17.53,11.2097167969,12.5733852386,6.32028320313,4.95661476135,39.9459797677,24.5680298925,15.3779498752
Birr (Co. Offaly),Birr co offlay,2023-04-30,2023-04-30 01:00:00,2023-04-30 01:00:00,1,2.23,10.4294366837,10.1339874268,-8.19943668365,-7.90398742676,67.2307619293,62.4730172423,4.75774468692
Birr (Co. Offaly),Birr co offlay,2023-05-01,2023-05-01 01:00:00,2023-05-01 01:00:00,1,6.68,8.93043231964,6.48548030853,-2.25043231964,0.194519691467,5.06444562529,0.0378379103685,5.02660771492
Birr (Co. Offaly),Birr co offlay,2023-05-02,2023-05-02 01:00:00,2023-05-02 01:00:00,1,12.67,6.98489046097,8.64629459381,5.68510953903,4.02370540619,32.3204704708,16.1902051958,16.130265275
Birr (Co. Offaly),Birr co offlay,2023-05-03,2023-05-03 01:00:00,2023-05-03 01:00:00,1,4.33,13.2963190079,14.475522995,-8.96631900787,-10.145522995,80.394876551,102.931636842,-22.536760291
Birr (Co. Offaly),Birr co offlay,2023-05-04,2023-05-04 01:00:00,2023-05-04 01:00:00,1,11.46,10.800151825,10.6221876144,0.659848175049,0.837812385559,0.435399614115,0.701929593396,-0.266529979281
Birr (Co. Offaly),Birr co offlay,2023-05-05,2023-05-05 01:00:00,2023-05-05 01:00:00,1,8.65,10.3653039932,9.39531612396,-1.71530399323,-0.745316123962,2.94226778917,0.555496124638,2.38677166454
