station_id,station_name,station_type,model,horizon,skill,alpha,recall_p75,dm_significant,n_pairs,rule_a_rc,decision_change_rc,reason_rc
08019028_10_M,Barcelona Pl. Universitat,Urban/Traffic,ridge_direct,2,0.173415931794217,0.2050816290799438,0.2740213523131672,True,1426,True,True,collapse_only
08019054_10_M,Barcelona Vall d'Hebron,Urban/Background,hgb_direct,2,0.1490533332906917,0.2676040929025354,0.3555555555555555,True,1416,True,True,collapse_only
08019054_10_M,Barcelona Vall d'Hebron,Urban/Background,hgb_direct,3,0.1906232180478182,0.1919385476994885,0.2300319488817891,True,1406,True,True,collapse_only
08019054_10_M,Barcelona Vall d'Hebron,Urban/Background,ridge_direct,2,0.1619833464910797,0.2148681236988795,0.2920634920634921,True,1416,True,True,collapse_only
44216001_10_M,Teruel,Urban/Background,hgb_direct,2,0.1942345432191011,0.1506270846127895,0.3674418604651163,True,1711,True,True,collapse_only
44216001_10_M,Teruel,Urban/Background,hgb_direct,3,0.2210488631819168,0.1069756314195129,0.2459396751740139,True,1709,True,True,collapse_only
44216001_10_M,Teruel,Urban/Background,hgb_direct,4,0.2323564595252979,0.0877831133727737,0.2,True,1707,True,True,collapse_only
44216001_10_M,Teruel,Urban/Background,ridge_direct,1,0.1104253459187939,0.4082926859463594,0.5757575757575758,True,1715,True,True,collapse_only
44216001_10_M,Teruel,Urban/Background,ridge_direct,2,0.1954639461190745,0.1474327422244373,0.2883720930232558,True,1711,True,True,collapse_only
08019052_10_M,Barcelona El Port Vell,Suburban/Industrial,hgb_direct,1,0.0999574863552733,0.4446283854495581,0.5195729537366548,True,1731,True,True,collapse_only
08019052_10_M,Barcelona El Port Vell,Suburban/Industrial,hgb_direct,2,0.1586166165421074,0.2279273815595763,0.3142857142857143,True,1725,True,True,collapse_only
08019052_10_M,Barcelona El Port Vell,Suburban/Industrial,hgb_direct,3,0.1853038395262949,0.1793951021930146,0.2669039145907473,True,1720,True,True,collapse_only
08019052_10_M,Barcelona El Port Vell,Suburban/Industrial,hgb_direct,5,0.1932196696590293,0.1420174190422324,0.2014388489208633,True,1713,True,True,collapse_only
08019052_10_M,Barcelona El Port Vell,Suburban/Industrial,ridge_direct,1,0.100794494639045,0.4496741335183056,0.505338078291815,True,1731,True,True,collapse_only
08019052_10_M,Barcelona El Port Vell,Suburban/Industrial,ridge_direct,2,0.1671060445667238,0.1886691901511851,0.2892857142857143,True,1725,True,True,collapse_only
08019052_10_M,Barcelona El Port Vell,Suburban/Industrial,ridge_direct,3,0.1964613215895463,0.1136939722155105,0.2028469750889679,True,1720,True,True,collapse_only
