station_id,model,horizon,skill,alpha,recall_p75,dm_significant,station_type,rule_a_rc,rule_b_rc,decision_change_rc,reason_rc
44216001_10_M,hgb_direct,2,0.1942345432191011,0.1506270846127895,0.3674418604651163,True,Urban/Background,True,False,True,collapse_only
44216001_10_M,hgb_direct,3,0.2210488631819168,0.1069756314195129,0.2459396751740139,True,Urban/Background,True,False,True,collapse_only
44216001_10_M,hgb_direct,4,0.2323564595252979,0.0877831133727737,0.2,True,Urban/Background,True,False,True,collapse_only
44216001_10_M,hgb_direct,5,0.2489036207464984,0.0793410116518209,0.1818181818181818,True,Urban/Background,True,False,True,both
44216001_10_M,hgb_direct,6,0.2580962179906262,0.0690379275965746,0.1395348837209302,True,Urban/Background,True,False,True,both
44216001_10_M,hgb_direct,7,0.2645383767963849,0.0629724631361665,0.1378504672897196,True,Urban/Background,True,False,True,both
44216001_10_M,ridge_direct,1,0.1104253459187939,0.4082926859463594,0.5757575757575758,True,Urban/Background,True,False,True,collapse_only
44216001_10_M,ridge_direct,2,0.1954639461190745,0.1474327422244373,0.2883720930232558,True,Urban/Background,True,False,True,collapse_only
44216001_10_M,ridge_direct,3,0.2258278220537054,0.087936425954919,0.1832946635730858,True,Urban/Background,True,False,True,both
44216001_10_M,ridge_direct,4,0.2420492495829339,0.0601787779696501,0.127906976744186,True,Urban/Background,True,False,True,both
44216001_10_M,ridge_direct,5,0.2584146780694506,0.0468295165761375,0.1235431235431235,True,Urban/Background,True,False,True,both
44216001_10_M,ridge_direct,6,0.2703207399425587,0.0356947279542019,0.0837209302325581,True,Urban/Background,True,False,True,both
44216001_10_M,ridge_direct,7,0.2750255319309996,0.0305440738351143,0.0771028037383177,True,Urban/Background,True,False,True,both
44216001_10_M,sarima,1,0.0228935506098526,0.3067914304963427,0.6052631578947368,False,Urban/Background,False,False,False,n/a
44216001_10_M,sarima,2,0.0859779041474871,0.1221562818130573,0.2857142857142857,False,Urban/Background,False,False,False,n/a
44216001_10_M,sarima,3,0.0712915491603985,0.0480868332296009,0.2040816326530612,False,Urban/Background,False,False,False,n/a
44216001_10_M,sarima,4,0.0635097699465022,0.0300165628996245,0.1276595744680851,False,Urban/Background,False,False,False,n/a
44216001_10_M,sarima,5,0.0654818122472855,0.0205832216106314,0.1,False,Urban/Background,False,False,False,n/a
44216001_10_M,sarima,6,0.2131811579523137,0.0330835446133913,0.0,False,Urban/Background,False,False,False,n/a
44216001_10_M,sarima,7,0.1847786766248785,0.0333854206973176,0.0,False,Urban/Background,False,False,False,n/a
44216001_10_M,seasonal_naive,1,-0.5298804010487466,1.0166469191397804,0.337995337995338,True,Urban/Background,False,False,False,n/a
44216001_10_M,seasonal_naive,2,-0.1319152568402384,1.0095557133800994,0.3348837209302325,False,Urban/Background,False,False,False,n/a
44216001_10_M,seasonal_naive,3,-0.0671576324218659,1.0045540548596343,0.3317865429234338,False,Urban/Background,False,False,False,n/a
44216001_10_M,seasonal_naive,4,-0.037878975850824,0.9974497608941156,0.3325581395348837,False,Urban/Background,False,False,False,n/a
44216001_10_M,seasonal_naive,5,-0.0202409383586945,1.0261259861097831,0.3286713286713286,True,Urban/Background,False,False,False,n/a
44216001_10_M,seasonal_naive,6,-0.004678418568369,1.0309384262584087,0.3255813953488372,False,Urban/Background,False,False,False,n/a
44216001_10_M,seasonal_naive,7,0.0,1.0293579508285111,0.3247663551401869,False,Urban/Background,False,False,False,n/a
44216001_10_M,stl_ridge_direct,1,-1.1401601018448315,1.61254194976722,0.9766899766899768,True,Urban/Background,False,False,False,n/a
44216001_10_M,stl_ridge_direct,2,-0.6260709387183585,1.4332100951172826,0.9534883720930232,True,Urban/Background,False,False,False,n/a
44216001_10_M,stl_ridge_direct,3,-0.5306681536142857,1.366432458348089,0.951276102088167,True,Urban/Background,False,False,False,n/a
44216001_10_M,stl_ridge_direct,4,-0.4867776099678345,1.3167199649726944,0.955813953488372,True,Urban/Background,False,False,False,n/a
44216001_10_M,stl_ridge_direct,5,-0.4623634645879388,1.3137782738705877,0.9627039627039627,True,Urban/Background,False,False,False,n/a
44216001_10_M,stl_ridge_direct,6,-0.4343459222364314,1.279855364435307,0.9604651162790696,True,Urban/Background,False,False,False,n/a
44216001_10_M,stl_ridge_direct,7,-0.422329671789202,1.254711970858534,0.9626168224299064,True,Urban/Background,False,False,False,n/a
08019052_10_M,hgb_direct,1,0.0999574863552733,0.4446283854495581,0.5195729537366548,True,Suburban/Industrial,True,False,True,collapse_only
08019052_10_M,hgb_direct,2,0.1586166165421074,0.2279273815595763,0.3142857142857143,True,Suburban/Industrial,True,False,True,collapse_only
08019052_10_M,hgb_direct,3,0.1853038395262949,0.1793951021930146,0.2669039145907473,True,Suburban/Industrial,True,False,True,collapse_only
