station_id,model,horizon,condition,n,mae,rmse,bias,mae_persistence,rmse_persistence,skill_mae,skill_rmse
01059012_10_47,xgboost_direct,6,lags_only,1030,6.5496618084756815,10.307777606700558,-1.732411193854647,8.170895579781796,12.88726035146901,0.19841567616134062,0.20015757223950384
01059012_10_47,persistence,7,lags_only,1029,8.340168878658847,13.19147331919806,,,,,
01059012_10_47,sarima,7,lags_only,1029,8.499931457101091,12.635093364338882,-6.840278704262048,8.340168878658847,13.19147331919806,-0.01915579657518097,0.04217724141923229
01059012_10_47,xgboost_direct,7,lags_only,1029,6.509604635384921,10.111057958538833,-1.4631343367590361,8.340168878658847,13.19147331919806,0.21948767104201525,0.23351564196973965
03014009_10_46,persistence,1,lags_only,164,7.817608414473472,18.88914741159245,,,,,
03014009_10_46,sarima,1,lags_only,164,7.131199246436613,14.696071439264777,-1.2640625228572964,7.817608414473472,18.88914741159245,0.08780296116726001,0.22198333683151533
03014009_10_46,xgboost_direct,1,lags_only,164,9.26013427414461,16.436876102771702,3.0071539188849483,7.817608414473472,18.88914741159245,-0.18452265490817552,0.129824351273566
03014009_10_46,persistence,2,lags_only,163,8.644361728784242,16.144201809539485,,,,,
03014009_10_46,sarima,2,lags_only,163,6.889181586160474,9.869881669460927,-0.6712748243243557,8.644361728784242,16.144201809539485,0.20304334752435443,0.38864232583930597
03014009_10_46,xgboost_direct,2,lags_only,163,7.997334166040334,11.051421033715165,3.2139161533191154,8.644361728784242,16.144201809539485,0.07484966305718294,0.31545571815232354
03014009_10_46,persistence,3,lags_only,162,9.024079360432017,15.715985536508835,,,,,
03014009_10_46,sarima,3,lags_only,162,7.106418038933573,9.91931730853959,-1.0157728418275274,9.024079360432017,15.715985536508835,0.21250492653099162,0.3688389897345835
03014009_10_46,xgboost_direct,3,lags_only,162,8.432926551360959,11.484673229071499,4.042965107794479,9.024079360432017,15.715985536508835,0.06550837880073315,0.2692362052387893
03014009_10_46,persistence,4,lags_only,161,9.183163323758786,16.887785705408962,,,,,
03014009_10_46,sarima,4,lags_only,161,7.226418122518176,10.261240230411703,-1.3502267561397807,9.183163323758786,16.887785705408962,0.21307964720371422,0.39238687597006006
03014009_10_46,xgboost_direct,4,lags_only,161,9.358372717114637,14.654733227322541,4.835994306614013,9.183163323758786,16.887785705408962,-0.019079416011533613,0.1322288497165854
03014009_10_46,persistence,5,lags_only,160,9.135089344532279,17.059655789986387,,,,,
03014009_10_46,sarima,5,lags_only,160,7.129813181063628,10.122321172707489,-1.5861157589893051,9.135089344532279,17.059655789986387,0.21951357976251107,0.406651500046733
03014009_10_46,xgboost_direct,5,lags_only,160,10.23267980544228,13.7918946830815,6.491151694264336,9.135089344532279,17.059655789986387,-0.12015103733681079,0.19154906447895537
03014009_10_46,persistence,6,lags_only,159,8.88112668937115,15.611173088960925,,,,,
03014009_10_46,sarima,6,lags_only,159,7.119303767885724,9.862097379916527,-1.8745245878927683,8.88112668937115,15.611173088960925,0.19837831202137443,0.3682667328254609
03014009_10_46,xgboost_direct,6,lags_only,159,9.476864002320337,12.719691203958348,6.50698326299408,8.88112668937115,15.611173088960925,-0.06707902429341078,0.18521874483905507
03014009_10_46,persistence,7,lags_only,158,9.395765580960957,16.60777686377696,,,,,
03014009_10_46,sarima,7,lags_only,158,7.532398247624185,10.268027537077522,-2.129907913950396,9.395765580960957,16.60777686377696,0.19831990456558357,0.3817337732015773
03014009_10_46,xgboost_direct,7,lags_only,158,9.641398455580894,12.677491151317504,5.732199160666733,9.395765580960957,16.60777686377696,-0.026142933484598032,0.23665333082790616
03066003_10_46,persistence,1,lags_only,99,6.175475106799217,12.268252974502396,,,,,
03066003_10_46,sarima,1,lags_only,99,6.049179345975054,11.286005224011713,-2.209294854699466,6.175475106799217,12.268252974502396,0.02045118126783662,0.0800641910899724
03066003_10_46,xgboost_direct,1,lags_only,99,7.094140120875002,11.724068182854074,-0.6160492200008137,6.175475106799217,12.268252974502396,-0.1487602165320579,0.04435715441956754
03066003_10_46,persistence,2,lags_only,98,8.341035129466807,14.110469058422616,,,,,
