station_id,model,horizon,condition,raw_p_value,bh_q_value,bh_reject_q_0_05,family,family_size,alpha,primary_inferential_metric
03066003_10_46,xgboost_direct,2,lags_only,0.1113,0.18834628315278298,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,xgboost_direct,3,lags_only,0.016,0.04092307692307692,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,xgboost_direct,4,lags_only,0.0001,0.0005270396270396271,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,xgboost_direct,5,lags_only,0.4566,0.5477977188328913,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,xgboost_direct,6,lags_only,0.7126,0.8035853366583541,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,xgboost_direct,7,lags_only,0.187,0.28385834172541125,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,sarima,1,lags_only,0.0494,0.09901897163120567,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,sarima,2,lags_only,0.006,0.01822162525184688,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,sarima,3,lags_only,0.0207,0.05027142857142857,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,sarima,4,lags_only,0.0478,0.09645319053993753,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,sarima,5,lags_only,0.0913,0.16196885052961946,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,sarima,6,lags_only,0.1732,0.2665794417971409,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,sarima,7,lags_only,0.272,0.3747901918976546,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,xgboost_direct,1,lags_only,1.0,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,xgboost_direct,2,lags_only,0.2308,0.33195852417302796,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,xgboost_direct,3,lags_only,0.0149,0.038611919770773634,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,xgboost_direct,4,lags_only,0.0055,0.016999999999999998,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,xgboost_direct,5,lags_only,0.0007,0.0029120515179392823,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,xgboost_direct,6,lags_only,0.0001,0.0005270396270396271,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03133002_10_46,xgboost_direct,7,lags_only,0.0006,0.002552398871119473,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,sarima,1,lags_only,0.6352,0.7277361033696479,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,sarima,2,lags_only,0.3574,0.4506867819297267,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,sarima,3,lags_only,0.3554,0.4501733333333333,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,sarima,4,lags_only,0.361,0.45245059573289,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,sarima,5,lags_only,0.356,0.45055793296089386,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,sarima,6,lags_only,0.8408,0.9264370370370371,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,sarima,7,lags_only,0.3636,0.45407323943661965,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,xgboost_direct,1,lags_only,0.9683,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,xgboost_direct,2,lags_only,0.2944,0.39668557806912985,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,xgboost_direct,3,lags_only,0.2032,0.30235946034879896,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,xgboost_direct,4,lags_only,0.0749,0.13858338788870703,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,xgboost_direct,5,lags_only,0.3124,0.41378816637375515,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,xgboost_direct,6,lags_only,0.257,0.36024612523248606,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04013004_10_49,xgboost_direct,7,lags_only,0.0698,0.13075211267605635,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,sarima,1,lags_only,1.0,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,sarima,2,lags_only,0.5541,0.6477870217166495,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,sarima,3,lags_only,0.3639,0.4543224185532855,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,sarima,4,lags_only,0.3611,0.45245059573289,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,sarima,5,lags_only,0.3567,0.45055793296089386,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,sarima,6,lags_only,0.3519,0.44812497887918895,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,sarima,7,lags_only,0.3549,0.45017049088359046,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,xgboost_direct,1,lags_only,1.0,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,xgboost_direct,2,lags_only,0.4003,0.4900261505143476,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
